Ion name,Ion mass,Charge ,1/Charge,Mass
[M-H]-,M - 1.007276 ,1-,1,-1.007276
[M-H2O-H]-,M- 19.01839,1-,1,-19.01839
[M+Na-2H]-,M + 20.974666 ,1-,1,20.974666
[M+Cl]-,M + 34.969402 ,1-,1,34.969402
[M+Hac-H]-,M + 59.013851 ,1-,1,59.013851
[2M-H]-,2M - 1.007276 ,,2,-1.007276
[2M+FA-H]-,2M + 44.998201 ,,2,44.998201
[2M+Hac-H]-,2M + 59.013851 ,,2,59.013851
[3M-H]-,3M - 1.007276 ,,3,-1.007276
